subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,102.0,160.0,7.0,Bad
SubPot2,103.0,158.0,7.0,Bad
SubPot3,101.0,157.0,7.0,Normal
SubPot4,106.0,155.0,7.0,Good
SubPot5,101.0,153.0,7.0,Normal
SubPot6,102.0,160.0,7.0,Bad
SubPot7,102.0,161.0,6.0,Good
SubPot8,106.0,157.0,6.0,Bad
SubPot9,100.0,156.0,6.0,Good
SubPot10,103.0,152.0,6.0,Bad
SubPot11,106.0,158.0,7.0,Bad
SubPot12,105.0,154.0,7.0,Bad
SubPot13,106.0,160.0,6.0,Good
SubPot14,110.0,147.0,7.0,Normal
SubPot15,100.0,152.0,7.0,Bad
SubPot16,107.0,147.0,7.0,Bad
SubPot17,104.0,155.0,7.0,Bad
SubPot18,101.0,151.0,7.0,Bad
SubPot19,104.0,147.0,6.0,Good
SubPot20,104.0,158.0,7.0,Bad
SubPot21,106.0,151.0,7.0,Bad
SubPot22,109.0,160.0,6.0,Normal
SubPot23,102.0,148.0,7.0,Bad
SubPot24,101.0,145.0,7.0,Bad
SubPot25,103.0,147.0,7.0,Bad
SubPot26,103.0,155.0,7.0,Good
SubPot27,102.0,150.0,6.0,Bad
SubPot28,105.0,154.0,7.0,Bad
SubPot29,103.0,160.0,6.0,Bad
SubPot30,107.0,145.0,7.0,Good
SubPot31,99.0,152.0,7.0,Bad
SubPot32,106.0,157.0,6.0,Good
SubPot33,109.0,151.0,6.0,Bad
SubPot34,108.0,153.0,6.0,Bad
SubPot35,101.0,153.0,6.0,Bad
SubPot36,105.0,159.0,7.0,Bad
SubPot37,103.0,159.0,6.0,Normal
SubPot38,99.0,158.0,7.0,Good
SubPot39,108.0,158.0,7.0,Bad
SubPot40,104.0,154.0,7.0,Bad
